"cliente","tipo_monitoramento","cliente_chave","usuario_responsavel","razao_social","rede","associacao","observacao"
14361,G,N,172650,DROGARIA ITAMARATY LTDA,14361,,
20269,G,S,172650,IRMAOS MATTAR & CIA LTDA,718969,,
43320,G,N,172650, ITAITUBA KIDS COMERCIO DE BRINQUEDOS EIRELI,15136,29,
43320,G,N,172650, ITAITUBA KIDS COMERCIO DE BRINQUEDOS EIRELI,15136,29,
44038,G,N,172650,MAGALHAES COMERCIO DE BRINQUEDOS LTDA.,521852,29,
44039,G,N,172650,CL BRINQUEDOS E ARTIGOS RECREATIVOS E INFANTIS   LTDA,,29,
44787,G,N,172650,MANA BRINQUEDOS LTDA,,29,
45979,G,N,172650,A DE M B GORGEN LTDA,,29,
45980,G,N,172650,MARIA DO SOCORRO ROCHA DE MEDEIROS GUEDES,,29,
47168,G,N,172650,LACERDA COMERCIO LTDA,47168,29,
51359,G,N,172650,UMUARAMA BRINQUEDOS LTDA,,29,
52560,G,S,172650,ARAUJO,52560,,
52623,G,N,172650, BIRI DIM BRINQUEDOS LTDA,890634,29,
53292,G,N,172650,FBH BRINQUEDOS LTDA,,29,
53609,G,N,172650,E. MARTINS BRINQUEDOS ITAPETININGA LTDA,,29,
54630,G,N,172650,MEL E MICKEY COMERCIO DE BRINQUEDOS LTDA.,,29,
54637,G,N,172650,GRE BRINQUEDOS & ACESSORIOS INFANTIL LTDA,,29,
56435,G,N,172650,ARAGUAINA KIDS LTDA,,29,
58526,G,N,172650,ELLEN R. M. DE OLIVEIRA LTDA,890620,29,
59685,G,N,172650, COMERCIO DE BRINQUEDOS EXPOSICAO LTDA,,29,
69540,G,N,172650,PATO BRANCO BRINQUEDOS LTDA,,29,
69547,G,N,172650,SORRISO BRINQUEDOS LTDA,,29,
79872,G,N,172650,TORRE FORTE COMERCIO DE BRINQUEDOS LTDA,,29,
83857,G,N,172650,RH GYN COMERCIO DE BRINQUEDOS LTDA,92809,29,
87172,G,N,172650,CEG COSSA HAPPY BRINQUEDOS LTDA,,29,
91338,G,N,172650,TY COMERCIO DE BRINQUEDOS LTDA,,29,
91412,G,N,172650,VILELA E GODOY COMERCIO DE BRINQUEDOS LTDA,,29,
91863,G,N,172650,CABO FRIO SMART BRINQUEDOS LTDA,890675,29,
92614,G,N,172650,AKSANO BRINQUEDOS LTDA,,29,
94955,G,N,172650, AG BRINQUEDOS E ARTIGOS RECREATIVOS E INFANTIS LTDA,890616,29,
98208,G,N,172650,IWJ TOYS LTDA.,,29,
98210,G,N,172650,DR NEGOCIOS LTDA,98210,29,
98358,G,N,172650,BKIDS BRINQUEDOS E PRESENTES LTDA,,29,
98417,G,N,172650,L J DE SOUZA BRINQUEDOS LTDA,,29,
99918,G,N,172650,BENJA COMERCIO DE BRINQUEDOS LTDA,,29,
100402,G,N,172650,HERVAL BRINQUEDOS LTDA,,29,
104439,G,N,172650,MAESAN MUNDO DOS BRINQUEDOS SUZANO LTDA,,29,
105176,G,N,172650,NINO E NINA COMERCIO DE BRINQUEDOS LTDA,,29,
107008,G,N,172650,RI AL BRINQUEDOS E ARTIGOS RECREATIVOS E INFANTIS LTDA,,29,
107519,G,N,172650,J M S LUNARDI,,29,
112425,G,N,172650,VALE TOYS&FUN COMERCIO DE BRINQUEDOS LTDA.,,29,
112859,G,N,172650,BLC COMERCIO DE BRINQUEDOS LTDA,,29,
112865,G,N,172650,DMT COMERCIO DE BRINQUEDOS LTDA,,29,
114488,G,N,172650,MAKOTO COMERCIO DE BRINQUEDOS LTDA,,29,
118545,G,N,172650,R WAGNER ANDRADA MELO LIMITADA - EPP,,29,
118852,G,N,172650,TANGARA LUDIQUE LTDA,,29,
123821,G,N,172650,BRINQUE COMERCIO DE BRINQUEDOS E ARTIGOS RECREATIVOS LTDA,,29,
