"id_proposta_vda_monitorada","cliente","descricao_proposta","situacao_proposta","data_proposta","usuario","vlr_proposta"
42791,622320,INTRODUÃ├O STARLUX ENERGY,E,2025-01-02 10:04:00.000,172650,1.00
42792,900649,INTRODUÃ├O MAPEX,R,2025-01-03 08:28:00.000,172114,1.00
42793,904555,AJUSTE DENTIL BOB ESPONJA TABELA,A,2025-01-03 09:47:00.000,172650,2973.60
42794,629309,INTRODUÃ├O ISABABY DROGARIAS,R,2025-01-03 14:22:00.000,172650,1.00
42795,140034,NEGOCIAÃ├O ESCOLAR,A,2025-01-03 15:58:00.000,172650,22770.58
42796,93207,PROPOSTA INTRODUCAO CARMED,A,2025-01-03 16:49:00.000,151662,36930.88
42797,904555,COMMODITIES ERRO COTACAO,A,2025-01-03 17:26:00.000,172650,15989.68
42798,811965,NEGOCIAÃ├O MATERIAL ESCOLAR,R,2025-01-04 10:56:00.000,131656,1.00
42799,622320,VOLTA AS AULAS 2025,A,2025-01-04 11:45:00.000,172650,1.00
42800,563274,INTRODUÃ├O CARMED,R,2025-01-06 11:32:00.000,131656,1.00
42801,745104,INTRODUÃ├O STARLUX ENERGY,A,2025-01-07 16:08:00.000,172114,1563.53
42802,762879,NEGOCIAÃ├O TEMPORADA ESCOLAR 2025,A,2025-01-07 17:01:00.000,166082,218661.60
42803,554763,NEGOCIAÃ├O TEMPORADA ESCOLAR,R,2025-01-07 18:37:00.000,166082,0.10
42804,875673,INTRODUÃ├O E REPOSIÃ├O MAPEX,R,2025-01-08 08:26:00.000,158188,18000.00
42805,703132,REPOSIÃ├O BBOAT,A,2025-01-08 08:43:00.000,175646,7900.56
42806,745726,NEGOCIAÃ├O MONITORADOS,A,2025-01-08 09:40:00.000,154815,21000.00
42807,444460,NEGOCIAÃ├O MAPEX,A,2025-01-08 13:39:00.000,166082,5984.62
42808,444460,NEGOCIAÃ├O TEMPORADA ESCOLAR,R,2025-01-08 13:40:00.000,166082,0.10
42809,912200,NEGOCIAÃ├O MAPEX,A,2025-01-08 13:41:00.000,166082,31552.03
42810,841765,NEGOCIAÃ├O PILHAS,R,2025-01-08 16:02:00.000,131656,1.00
42811,536098,VOLTA AS AULAS,E,2025-01-08 21:07:00.000,172650,10302.36
42812,117097,NEGOCIAÃ├O ESCOLAR,R,2025-01-08 21:11:00.000,172650,9613.77
42813,83652,VOLTAS AS AULAS 2025,A,2025-01-08 21:13:00.000,172650,18620.99
42814,978352,INTRODUÃ├O FRALDAS E PILHAS,A,2025-01-08 21:17:00.000,172650,17069.52
42815,829565,ESCOLAR REDE LUCAS,R,2025-01-08 21:30:00.000,172650,1.00
42816,598854,REPOSICAO / INTRODUCAO MAPEX,A,2025-01-09 09:33:00.000,151662,45059.00
42817,749229,NEGOCIAÃ├O STARLUX ENERGY,R,2025-01-09 10:33:00.000,131656,1.00
